,Mario Kart 8 Deluxe,Super Mario Odyssey ,Mario + Rabbids Kingdom Battle,Mario Tennis Aces,Captain Toad: Treasure Tracker,Super Smash Bros. Ultimate,Super Mario Party,New Super Mario Bros U Deluxe,Yoshi,Luigi's Mansion 3 
Super Mario Party- Nintendo Switch,2.449489742783178,2.0,2.6457513110645907,2.449489742783178,3.0,2.6457513110645907,1.4142135623730951,2.449489742783178,2.449489742783178,2.6457513110645907
Super Mario Odyssey (Nintendo Switch) *BRAND NEW* SEALED,3.0,2.23606797749979,3.1622776601683795,3.0,3.4641016151377544,3.1622776601683795,2.6457513110645907,2.6457513110645907,3.0,3.1622776601683795
"Super Mario Odyssey (Nintendo Switch, 2017)",2.6457513110645907,1.7320508075688772,2.8284271247461903,2.6457513110645907,3.1622776601683795,2.8284271247461903,2.23606797749979,2.6457513110645907,2.6457513110645907,2.8284271247461903
Mario + Rabbids Kingdom Battle (Nintendo Switch) Brand New Factory Sealed,3.3166247903554,3.3166247903554,2.449489742783178,3.3166247903554,3.7416573867739413,3.7416573867739413,3.3166247903554,3.3166247903554,3.3166247903554,3.4641016151377544
NEW Nintendo Switch Mario Kart 8 Deluxe Gaming Console Bundle,2.449489742783178,3.1622776601683795,3.3166247903554,3.1622776601683795,3.605551275463989,3.605551275463989,3.1622776601683795,2.8284271247461903,3.1622776601683795,3.3166247903554
Mario + Rabbids Kingdom Battle Season Pass DLC Weapons [Nintendo Switch BONUS],3.4641016151377544,3.4641016151377544,2.6457513110645907,3.4641016151377544,3.872983346207417,3.872983346207417,3.4641016151377544,3.7416573867739413,3.4641016151377544,3.605551275463989
"Super Mario Odyssey [ GAME ] (Nintendo Switch, 2017)",2.8284271247461903,2.0,3.0,2.8284271247461903,3.3166247903554,3.0,2.449489742783178,2.8284271247461903,2.8284271247461903,3.0
Super Mario Party- Nintendo Switch,2.449489742783178,2.0,2.6457513110645907,2.449489742783178,3.0,2.6457513110645907,1.4142135623730951,2.449489742783178,2.449489742783178,2.6457513110645907
"Super Mario Odyssey (Nintendo Switch, 2017)",2.6457513110645907,1.7320508075688772,2.8284271247461903,2.6457513110645907,3.1622776601683795,2.8284271247461903,2.23606797749979,2.6457513110645907,2.6457513110645907,2.8284271247461903
 Super Mario Party - Nintendo Switch,2.449489742783178,2.0,2.6457513110645907,2.449489742783178,3.0,2.6457513110645907,1.4142135623730951,2.449489742783178,2.449489742783178,2.6457513110645907
"Mario Kart 8 Deluxe VERY GOOD (with case) (Nintendo Switch, 2017)",2.6457513110645907,3.3166247903554,3.4641016151377544,3.3166247903554,3.7416573867739413,3.7416573867739413,3.3166247903554,3.3166247903554,3.3166247903554,3.4641016151377544
"Mario + Rabbids Kingdom Battle (Nintendo Switch, 2017) Brand New Sealed",3.3166247903554,3.3166247903554,2.449489742783178,3.3166247903554,3.7416573867739413,3.7416573867739413,3.3166247903554,3.3166247903554,3.3166247903554,3.4641016151377544
2017 Super Mario Odyssey Nintendo Switch Video Game Used Only Once,3.4641016151377544,2.8284271247461903,3.605551275463989,3.4641016151377544,3.872983346207417,3.605551275463989,3.1622776601683795,3.4641016151377544,3.4641016151377544,3.605551275463989
"Mario + Rabbids Kingdom Battle (Nintendo Switch, 2017)",2.8284271247461903,2.8284271247461903,1.7320508075688772,2.8284271247461903,3.3166247903554,3.3166247903554,2.8284271247461903,3.1622776601683795,2.8284271247461903,3.0
"Mario Kart 8 Deluxe (Nintendo Switch, 2017)",1.7320508075688772,2.6457513110645907,2.8284271247461903,2.6457513110645907,3.1622776601683795,3.1622776601683795,2.6457513110645907,2.6457513110645907,2.6457513110645907,2.8284271247461903
NEW! MARIO + RABBIDS KINGDOM BATTLE (Nintendo Switch 2017) FAST FREE SHIPPING,3.4641016151377544,3.4641016151377544,2.6457513110645907,3.4641016151377544,3.872983346207417,3.872983346207417,3.4641016151377544,3.4641016151377544,3.4641016151377544,3.605551275463989
Super Mario Party Nintendo Switch,2.449489742783178,2.0,2.6457513110645907,2.449489742783178,3.0,2.6457513110645907,1.4142135623730951,2.449489742783178,2.449489742783178,2.6457513110645907
"Super Mario Odyssey (Nintendo Switch, 2017)",2.6457513110645907,1.7320508075688772,2.8284271247461903,2.6457513110645907,3.1622776601683795,2.8284271247461903,2.23606797749979,2.6457513110645907,2.6457513110645907,2.8284271247461903
"Mario Kart 8 Deluxe (Nintendo Switch, 2017)",1.7320508075688772,2.6457513110645907,2.8284271247461903,2.6457513110645907,3.1622776601683795,3.1622776601683795,2.6457513110645907,2.6457513110645907,2.6457513110645907,2.8284271247461903
